Price,Location,Property Ref,Date Added,Last Updated,market Status,Type,Price_cat,Bedroom,Bathroom,Toilets,Town
250000000,"Gilmore, Jahi, Abuja",2042744,2023-12-15,2024-05-13, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Jahi
55000000,"Mbora (Nbora), Abuja",2245428,2024-05-08,2024-05-08, Available,Semi-detached Bungalow,Millions,3.0,3.0,4.0,Mbora (Nbora)
1300000000,"Plot 635, David Jemibewon Street, Gudu, Abuja",2244637,2024-05-08,2024-05-08, Available,Terraced Duplex,Billions,5.0,5.0,6.0,Gudu
115000000,"Galadinmawa, Galadimawa, Abuja",2244575,2024-05-08,2024-05-08, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Galadimawa
430000000,"38 Inuwa Wada Crescent, Utako, Abuja",2140814,2024-02-29,2024-05-03, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Utako
115000000,"Galadinmawa, Galadimawa, Abuja",2244575,2024-05-08,2024-05-08, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Galadimawa
95000000,"Lifecamp District, Life Camp, Abuja",2244459,2024-05-08,2024-05-08, Available,Block of Flats,Millions,3.0,3.0,4.0,Life Camp
230000000,"Jahi, Abuja",2244183,2024-05-08,2024-05-08, Available,Detached Duplex,Millions,4.0,4.0,4.0,Jahi
500000000,"Gwarinpa, Abuja",2213251,2024-04-19,2024-04-19, Available,Detached Duplex,Millions,7.0,8.0,8.0,Gwarimpa
150000000,"Life Camp, Abuja",2242837,2024-05-07,2024-05-07, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Life Camp
100000000,"Life Camp, Abuja",2242819,2024-05-07,2024-05-13, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Life Camp
55000000,"Life Camp, Abuja",2242812,2024-05-07,2024-05-13, Available,Block of Flats,Millions,3.0,4.0,4.0,Life Camp
3800000000,"Maitama District, Abuja",2242755,2024-05-07,2024-05-07, Available,Detached Duplex,Billions,8.0,9.0,10.0,Maitama District
60000000,"Lokogoma District, Abuja",2242752,2024-05-07,2024-05-07, Available,Semi-detached Bungalow,Millions,3.0,3.0,4.0,Lokogoma District
40000000,"Arab Road, Kubwa, Abuja",2242190,2024-05-07,2024-05-16, Available,Terraced Duplex,Millions,2.0,3.0,3.0,Kubwa
140000000,"Lokogoma District, Abuja",2242157,2024-05-07,2024-05-16, Available,Detached Duplex,Millions,7.0,6.0,6.0,Lokogoma District
75000000,"By Nicon Junction, Katampe (Main), Katampe, Abuja",2241896,2024-05-07,2024-05-07, Available,Block of Flats,Millions,3.0,4.0,4.0,Katampe
280000000,"By Gilmore, Jahi, Abuja",2241311,2024-05-06,2024-05-06, Available,Terraced Duplex,Millions,5.0,5.0,6.0,Jahi
400000000,"Efab Metropolis Estate, Gwarinpa, Abuja",2008335,2023-11-19,2024-04-23, Available,Detached Duplex,Millions,6.0,7.0,7.0,Gwarimpa
200000000,"Apo Resettlement, Apo, Abuja",2241145,2024-05-06,2024-05-10, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Apo
350000000,"Katampe, Abuja",2240611,2024-05-06,2024-05-06, Available,Detached Duplex,Millions,4.0,4.0,5.0,Katampe
300000000,"Guzape District, Abuja",2240598,2024-05-06,2024-05-06, Available,Semi-detached Duplex,Millions,5.0,5.0,6.0,Guzape District
180000000,"Kukwaba, Abuja",2240499,2024-05-06,2024-05-14, Available,Terraced Duplex,Millions,5.0,5.0,6.0,Kukwaba
350000000,"Guzape District, Abuja",2240492,2024-05-06,2024-05-06, Available,Detached Duplex,Millions,6.0,6.0,7.0,Guzape District
350000000,"Katampe Extension, Katampe, Abuja",2240221,2024-05-06,2024-05-17, Available,Terraced Duplex,Millions,5.0,6.0,6.0,Katampe
350000000,"Apo Resettlement, Apo, Abuja",2240213,2024-05-06,2024-05-17, Available,Detached Duplex,Millions,4.0,5.0,5.0,Apo
230000000,"Guzape District, Abuja",2240154,2024-05-06,2024-05-17, Available,Terraced Duplex,Millions,4.0,6.0,5.0,Guzape District
235000000,"Gaduwa, Abuja",2239943,2024-05-06,2024-05-06, Available,Detached Duplex,Millions,4.0,4.0,5.0,Gaduwa
260000000,"Jahi, Abuja",2239609,2024-05-05,2024-05-17, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Jahi
11000000,"Idu Industrial, Abuja",2239517,2024-05-05,2024-05-05, Available,House,Millions,1.0,1.0,1.0,Idu Industrial
450000000,"Efab Metroplis Estate, Gwarinpa, Abuja",2239436,2024-05-05,2024-05-15, Available,Detached Duplex,Millions,6.0,8.0,7.0,Gwarimpa
80000000,"Lokogoma District, Abuja",2239384,2024-05-05,2024-05-05, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Lokogoma District
96000000,"Idu Industrial, Abuja",2239333,2024-05-05,2024-05-11, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Idu Industrial
80000000,"Lokogoma District, Abuja",2239282,2024-05-05,2024-05-05, Available,Detached Bungalow,Millions,3.0,3.0,4.0,Lokogoma District
56000000,"Area 1 Axis., Durumi, Abuja",2238568,2024-05-04,2024-05-05, Available,Block of Flats,Millions,2.0,3.0,3.0,Durumi
350000000,"Jabi, Abuja",2238445,2024-05-04,2024-05-04, Available,Detached Duplex,Millions,5.0,5.0,6.0,Jabi
500000000,"Katampe Extension, Katampe, Abuja",2253920,2024-05-13,2024-05-17, Available,Detached Duplex,Millions,6.0,6.0,7.0,Katampe
250000000,"Kaura, Abuja",2238261,2024-05-04,2024-05-15, Available,Detached Duplex,Millions,5.0,5.0,6.0,Kaura
800000000,"Asokoro District, Abuja",2238257,2024-05-04,2024-05-15, Available,Detached Duplex,Millions,5.0,5.0,6.0,Asokoro District
320000000,"Kaura, Abuja",2238244,2024-05-04,2024-05-15, Available,Detached Duplex,Millions,5.0,5.0,6.0,Kaura
250000000,"Kado, Abuja",2237758,2024-05-04,2024-05-04, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Kado
65000000,"Katampe (Main), Katampe, Abuja",2237548,2024-05-04,2024-05-08, Available,Block of Flats,Millions,3.0,3.0,4.0,Katampe
40000000,"Gwarimpa Extension, Gwarinpa, Abuja",2237541,2024-05-04,2024-05-04, Available,Block of Flats,Millions,3.0,4.0,5.0,Gwarimpa
70000000,"Behind Legislative Quarters, Apo, Abuja",2237468,2024-05-04,2024-05-04, Available,Semi-detached Duplex,Millions,3.0,4.0,4.0,Apo
55000000,"Gwarimpa Extension, Gwarinpa, Abuja",2237454,2024-05-04,2024-05-10, Available,Semi-detached Duplex,Millions,3.0,4.0,4.0,Gwarimpa
14000000,"Atlantic City, Kyami, Abuja",2237326,2024-05-04,2024-05-10, Available,House,Millions,1.0,2.0,2.0,Kyami
100000000,"Lugbe District, Abuja",2236936,2024-05-03,2024-05-03, Available,Detached Duplex,Millions,5.0,5.0,6.0,Lugbe District
88000000,"Main, Gwarinpa, Abuja",2236723,2024-05-03,2024-05-13, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Gwarimpa
230000000,"Guzape District, Abuja",2236557,2024-05-03,2024-05-03, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Guzape District
160000000,"Galadimawa, Abuja",2236328,2024-05-03,2024-05-03, Available,Detached Duplex,Millions,4.0,5.0,6.0,Galadimawa
75000000,"Dawaki, Gwarinpa, Abuja",2236329,2024-05-03,2024-05-03, Available,Block of Flats,Millions,3.0,4.0,4.0,Gwarimpa
80000000,"Lugbe District, Abuja",2236180,2024-05-03,2024-05-03, Available,Semi-detached Duplex,Millions,4.0,4.0,4.0,Lugbe District
360000000,"Jahi, Abuja",2235921,2024-05-03,2024-05-17, Available,Terraced Duplex,Millions,4.0,4.0,5.0,Jahi
950000000,"Maitama District, Abuja",2235345,2024-05-02,2024-05-17, Available,Detached Duplex,Millions,5.0,5.0,6.0,Maitama District
550000000,"Guzape District, Abuja",2200321,2024-04-10,2024-04-23, Available,Detached Duplex,Millions,5.0,6.0,6.0,Guzape District
